DRUG_NAME,strengths,event_date,mean_price_change,mean_volume_change,pre_scripts,post_scripts
SACUBITRIL + VALSARTAN,3,2025-04-01,-47.79,-0.48,61491.0,61941.0
GUANFACINE,4,2023-10-01,-47.2,23.96,36688.0,45564.0
DABIGATRAN,2,2023-12-01,-35.43,-18.74,39367.08,32037.92
PALONOSETRON,1,2024-04-01,-34.15,-47.59,3452.58,1809.67
ARIPIPRAZOLE,4,2024-04-01,-26.93,3.86,25141.17,26237.84
APIXABAN,3,2024-08-01,-24.36,5.69,329728.42,320893.09
TICAGRELOR,1,2025-02-01,-22.69,-14.26,14769.08,12663.75
ENOXAPARIN SODIUM,1,2025-04-01,-17.7,0.55,2947.67,2964.0
